830,649,8,205.32,0
316,707,39,2257.71,0
270,175,31,1926.27,0
144,439,23,847.86,0
423,980,16,155.46,0
63,805,42,693.23,0
30,96,32,775.62,0
235,149,8,337.26,0
246,656,24,2044.01,0
236,592,46,3341.70,0
91,119,37,1182.44,0
105,324,30,605.44,0
613,506,28,886.95,0
384,562,33,910.51,0
309,245,8,413.24,0
196,650,26,2489.42,0
575,93,49,988.50,0
770,583,15,1062.43,0
180,628,8,700.80,0
679,595,47,1874.14,0
808,416,12,351.53,0
558,439,9,331.77,0
975,235,40,166.97,0
403,913,15,136.04,0
887,797,7,434.68,0
137,696,15,979.54,0
530,496,44,3353.56,0
540,578,43,383.48,0
273,256,34,2161.50,0
969,495,30,1585.57,0
34,441,23,1981.61,0
239,159,16,1449.63,0
970,410,7,156.57,0
79,649,42,1077.96,0
136,898,30,1522.84,0
911,787,1,74.63,0
319,512,20,1573.63,0
228,151,41,2232.16,0
997,988,8,388.87,0
400,654,7,612.12,0
513,758,46,3111.14,0
740,328,25,26.35,0
284,387,2,152.68,0
42,315,16,1329.05,0
228,323,7,512.49,0
327,86,47,2733.05,0
27,356,4,47.59,0
73,789,33,318.32,0
352,199,33,2236.78,0
883,358,22,1322.65,0
488,221,40,2394.65,0
251,20,18,68.09,0
5,965,15,563.69,0
938,494,7,387.49,0
759,442,4,147.86,0
720,692,15,449.50,0
857,357,38,1916.80,0
208,795,6,585.45,0
424,750,3,78.96,0
58,425,4,100.81,0
785,103,17,1611.44,0
171,783,42,96.21,0
369,96,13,315.10,0
570,848,17,962.71,0
742,816,34,832.84,0
617,789,14,135.04,0
429,967,41,175.11,0
23,218,1,39.13,0
535,486,6,59.23,0
746,448,42,379.17,0
705,781,16,1124.87,0
497,798,10,665.60,0
686,82,45,2496.01,0
100,407,35,519.41,0
530,170,21,680.01,0
716,856,4,206.79,0
787,271,5,189.54,0
533,844,10,734.26,0
19,359,26,2447.23,0
788,856,16,827.17,0
745,301,15,334.79,0
27,498,12,563.84,0
21,22,49,122.63,0
891,990,33,3269.65,0
767,100,47,3494.04,0
213,686,43,1050.44,0
167,857,5,266.87,0
695,562,16,441.46,0
13,443,14,959.69,0
88,748,6,235.56,0
319,332,22,966.16,0
618,257,13,709.73,0
167,464,6,97.96,0
150,440,22,1695.15,0
523,989,30,2409.02,0
41,934,23,125.35,0
239,956,44,767.90,0
190,457,6,409.92,0
284,452,18,1331.10,0
374,137,11,721.84,0
86,314,39,2351.65,0
605,653,12,454.08,0
175,288,47,2127.19,0
130,350,12,421.82,0
56,67,18,383.64,0
635,730,25,2263.03,0
582,872,10,725.53,0
814,573,7,203.68,0
879,749,32,3071.30,0
8,456,33,841.47,0
637,903,4,226.15,0
590,163,20,1395.01,0
64,479,50,2145.14,0
8,286,34,3243.60,0
343,140,13,1075.50,0
342,417,14,516.35,0
683,101,9,789.46,0
131,844,23,1688.80,0
278,177,22,1612.30,0
32,911,19,1544.81,0
777,176,41,4082.47,0
842,647,7,79.06,0
733,17,34,1890.97,0
550,243,1,20.21,0
596,958,31,824.80,0
855,663,4,88.30,0
435,52,44,3123.50,0
518,772,6,260.78,0
729,941,32,216.58,0
523,928,28,1639.81,0
391,18,42,890.53,0
516,944,13,324.69,0
175,219,24,621.93,0
853,59,6,450.46,0
98,195,45,2094.33,0
772,298,37,1425.08,0
398,697,29,1660.54,0
968,128,33,897.98,0
588,852,2,171.58,0
114,522,22,47.52,0
389,10,7,468.17,0
348,495,45,2378.35,0
63,399,38,696.00,0
665,307,39,2578.37,0
401,90,33,2177.84,0
848,636,16,1373.47,0
399,508,18,1747.74,0
372,424,49,1425.40,0
344,496,44,3353.56,0
167,280,34,2012.87,0
324,687,29,60.82,0
989,932,30,2280.56,0
531,848,28,1585.64,0
459,648,37,223.22,0
142,340,43,1996.47,0
77,961,30,1757.64,0
45,25,45,193.75,0
234,789,26,250.80,0
311,754,27,414.91,0
834,874,9,705.47,0
112,214,33,2056.99,0
500,956,43,750.45,0
859,367,40,3038.88,0
708,767,11,830.29,0
759,312,50,490.03,0
300,700,39,2739.56,0
175,786,25,1430.78,0
496,63,10,880.75,0
98,114,27,1535.27,0
893,559,11,620.75,0
477,320,26,1116.18,0
385,501,5,380.13,0
525,722,44,4146.73,0
843,477,23,516.11,0
569,712,3,180.33,0
422,764,46,3914.09,0
593,740,13,325.45,0
750,597,23,806.50,0
280,341,3,112.80,0
962,611,34,1206.78,0
47,425,2,50.40,0
765,852,44,3774.82,0
759,754,8,122.94,0
857,457,21,1434.72,0
698,96,33,799.86,0
512,181,43,1845.69,0
747,499,39,2789.21,0
891,937,35,2205.09,0
612,406,45,1658.24,0
886,877,30,1450.89,0
819,556,16,229.79,0
553,806,36,1522.33,0
582,55,49,1762.17,0
248,936,48,1508.25,0
19,757,14,655.38,0
798,119,48,1533.97,0
228,898,4,203.05,0
454,41,24,918.18,0
137,138,24,709.20,0
636,467,21,2004.08,0
149,532,39,3304.50,0
801,553,43,1240.31,0
896,568,48,1258.49,0
21,87,47,3315.94,0
706,532,6,508.38,0
284,993,20,1053.42,0
952,470,26,235.51,0
314,809,34,878.07,0
856,490,24,779.16,0
434,71,44,2578.34,0
111,889,20,881.31,0
669,372,49,4810.29,0
384,324,11,221.99,0
188,626,41,3467.47,0
122,711,24,1545.26,0
370,636,35,3004.46,0
367,800,43,3704.72,0
574,459,11,416.93,0
251,574,42,414.40,0
498,396,47,2508.15,0
784,169,3,211.71,0
946,946,19,1082.61,0
214,355,21,431.19,0
348,970,35,217.74,0
688,408,18,913.07,0
478,864,8,575.15,0
407,801,8,732.80,0
808,361,42,1148.91,0
538,84,13,97.51,0
592,213,50,254.58,0
64,48,2,162.26,0
984,823,19,873.46,0
499,827,42,2154.61,0
48,98,50,2974.74,0
988,894,16,1440.83,0
850,608,4,138.69,0
801,363,42,615.26,0
45,918,8,771.22,0
509,920,18,1633.29,0
912,6,48,1628.32,0
484,466,27,1357.96,0
510,224,45,3727.17,0
993,165,40,1990.08,0
316,593,14,1009.26,0
364,280,14,828.83,0
331,650,49,4691.60,0
694,303,37,2151.40,0
782,215,18,1391.69,0
359,751,3,37.97,0
247,808,3,165.31,0
317,926,4,69.60,0
6,171,12,93.43,0
280,855,31,2469.27,0
681,411,20,1196.71,0
945,494,49,2712.44,0
576,545,11,358.84,0
996,385,1,68.89,0
682,750,29,763.28,0
